function_name,defined_in_migrations,redefinition_count
public.update_resume_analysis_telemetry,20260410162714_remote_schema.sql,1
public.update_role,000_initial_schema.sql,1
public.update_updated_at,000_initial_schema.sql,1
public.upsert_ai_cost_tracking_atomic,000_initial_schema.sql,1
public.upsert_chi_score,20260410162714_remote_schema.sql,1
public.validate_search_weights,000_initial_schema.sql,1
trigger_set_updated_at,001_semantic_ai_upgrade.sql,1
update_academic_records_updated_at,20260522000001_student_academic_records.sql,1
update_academic_subjects_updated_at,20260522000001_student_academic_records.sql,1
update_achievements_updated_at,20260523000001_student_activities_phase3b.sql,1
update_activity_taxonomy_updated_at,20260523000001_student_activities_phase3b.sql,1
update_cognitive_responses_updated_at,20260524000001_student_cognitive_phase3c.sql,1
update_cognitive_signals_updated_at,20260524000001_student_cognitive_phase3c.sql,1
update_reflections_updated_at,20260523000001_student_activities_phase3b.sql,1
update_student_activities_updated_at,20260523000001_student_activities_phase3b.sql,1
update_updated_at_column,20260518000001_student_onboarding_foundation.sql;20260525000001_cross_domain_intelligence_phase3d.sql,2
validate_signal_key_exists,20260525000001_cross_domain_intelligence_phase3d.sql,1
